Component,Price,Source,link
GPS, $16.56 ,aliexpress,https://www.aliexpress.com/item/1005008590174242.html?spm=a2g0o.cart.0.0.583438daIVaNCs&mp=1
"standoff 25mm, 18mm", $5.51 ,aliexpress,https://www.aliexpress.com/item/1005003175594672.html?spm=a2g0o.cart.0.0.583438daIVaNCs&mp=1  https://www.aliexpress.com/item/1005003175594672.html?spm=a2g0o.cart.0.0.583438daIVaNCs&mp=1
motor, $35.15 ,aliexpress,https://www.aliexpress.com/item/1005005247800911.html?spm=a2g0o.cart.0.0.583438daIVaNCs&mp=1
xt60 connector, $1.20 ,aliexpress,https://www.aliexpress.com/item/1005007103438736.html?spm=a2g0o.cart.0.0.583438daIVaNCs&mp=1
mipi cable for air unit, $4.15 ,aliexpress,https://www.aliexpress.com/item/1005009431460132.html?spm=a2g0o.cart.0.0.583438daIVaNCs&mp=1
m3 and m5 wrench, $3.54 ,aliexpress,https://www.aliexpress.com/item/4000017637065.html?spm=a2g0o.cart.0.0.583438daIVaNCs&mp=1
non-slip pad for battery, $3.86 ,aliexpress,https://www.aliexpress.com/item/1005006987134496.html?spm=a2g0o.cart.0.0.583438daIVaNCs&mp=1
m3 screw set, $8.43 ,aliexpress,https://www.aliexpress.com/item/1005004526853714.html?spm=a2g0o.cart.0.0.583438daIVaNCs&mp=1&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D
battery strap, $2.75 ,aliexpress,https://www.aliexpress.com/item/1005007125752501.html?spm=a2g0o.cart.0.0.583438daIVaNCs&mp=1
lipo charger, $29.04 ,aliexpress,https://www.aliexpress.com/item/1005005947893976.html?spm=a2g0o.cart.0.0.583438daIVaNCs&mp=1
sg90 servo, $1.96 ,aliexpress,https://www.aliexpress.com/item/1005006283358420.html?spm=a2g0o.cart.0.0.583438daIVaNCs&mp=1
lipo bag, $2.98 ,aliexpress,https://www.aliexpress.com/item/1005007625304079.html?spm=a2g0o.cart.0.0.583438daIVaNCs&mp=1
threadlock, $1.86 ,aliexpress,https://www.aliexpress.com/item/1005008298085771.html?spm=a2g0o.cart.0.0.583438daIVaNCs&mp=1
fc and esc stack, $47.41 ,aliexpress,https://www.aliexpress.com/item/1005007050011519.html?spm=a2g0o.cart.0.0.583438daIVaNCs&mp=1
props x2, $7.48 ,aliexpress,https://www.aliexpress.com/item/1005007433514825.html?spm=a2g0o.cart.0.0.583438daIVaNCs&mp=1&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D
,,,
discount, $22.11 ,,
total, $149.77 ,,
,,,
I'm buying these,,,
dji o4 air unit, $110.00 ,local store,
lipo battery, $50.00 ,local store,
